2017-01-24 02:36:54,737 - INFO - 3692:Dummy-8 - zato_admin:22 - cid:[K052YV1C7M4GW69TYKS09J52TTP4], name:[zato.server.ensure-cluster-wide-singleton], response:[]
2017-01-24 02:36:54,740 - INFO - 3691:Dummy-20 - zato_admin:22 - cid:[K052YV1C7M4GW69TYKS09J52TTP4], name:[zato.server.ensure-cluster-wide-singleton], SIO request:[{}]
2017-01-24 02:36:54,752 - INFO - 3691:Dummy-20 - zato_admin:22 - cid:[K052YV1C7M4GW69TYKS09J52TTP4], name:[zato.server.ensure-cluster-wide-singleton], response:[]
2017-01-24 02:37:11,463 - INFO - 3692:Dummy-9 - zato_admin:22 - cid:[K07BA0SSD83832P9Q6HF30E6KYT6], name:[zato.server.cluster-wide-singleton-keep-alive], SIO request:[{}]
2017-01-24 02:37:11,484 - INFO - 3692:Dummy-9 - zato_admin:22 - cid:[K07BA0SSD83832P9Q6HF30E6KYT6], name:[zato.server.cluster-wide-singleton-keep-alive], response:[]
2017-01-24 02:37:24,753 - INFO - 3691:Dummy-22 - zato_admin:22 - cid:[K0510BR9650G21T4AS912JSFM6AE], name:[zato.server.ensure-cluster-wide-singleton], SIO request:[{}]
2017-01-24 02:37:24,769 - INFO - 3691:Dummy-22 - zato_admin:22 - cid:[K0510BR9650G21T4AS912JSFM6AE], name:[zato.server.ensure-cluster-wide-singleton], response:[]
2017-01-24 02:37:24,769 - INFO - 3692:Dummy-10 - zato_admin:22 - cid:[K0510BR9650G21T4AS912JSFM6AE], name:[zato.server.ensure-cluster-wide-singleton], SIO request:[{}]
2017-01-24 02:37:24,770 - INFO - 3692:Dummy-10 - zato_admin:22 - cid:[K0510BR9650G21T4AS912JSFM6AE], name:[zato.server.ensure-cluster-wide-singleton], response:[]
2017-01-24 02:37:41,389 - INFO - 3692:Dummy-11 - zato_admin:22 - cid:[K06EBJDRDV7E0F929A8PF1EDFWG7], name:[zato.server.cluster-wide-singleton-keep-alive], SIO request:[{}]
2017-01-24 02:37:41,414 - INFO - 3692:Dummy-11 - zato_admin:22 - cid:[K06EBJDRDV7E0F929A8PF1EDFWG7], name:[zato.server.cluster-wide-singleton-keep-alive], response:[]
2017-01-24 02:37:54,483 - INFO - 3691:Dummy-23 - zato_admin:22 - cid:[K06HDX20WPRZFMEZRW0FQKHGC3YR], name:[zato.stats.aggregate-by-minute], SIO request:[{}]
2017-01-24 02:37:54,492 - INFO - 3691:Dummy-23 - zato_admin:22 - cid:[K06HDX20WPRZFMEZRW0FQKHGC3YR], name:[zato.stats.aggregate-by-minute], response:[]
2017-01-24 02:37:54,746 - INFO - 3691:Dummy-25 - zato_admin:22 - cid:[K04RER247MNRZBM7J1DVGAE400KQ], name:[zato.server.ensure-cluster-wide-singleton], SIO request:[{}]
